Team,StreakType,Length,StartDate,EndDate
Baltimore Orioles,LOSS,5,1960-04-20,1960-04-24
Baltimore Orioles,WIN,5,1960-04-25,1960-04-29
Baltimore Orioles,WIN,5,1960-05-11,1960-05-16
Baltimore Orioles,LOSS,5,1960-07-06,1960-07-10
Baltimore Orioles,WIN,5,1960-07-30,1960-08-03
Baltimore Orioles,WIN,8,1960-08-06,1960-08-13
Baltimore Orioles,WIN,7,1960-08-28,1960-09-04
Boston Red Sox,LOSS,10,1960-05-14,1960-05-24
Boston Red Sox,LOSS,7,1960-06-05,1960-06-10
Boston Red Sox,LOSS,5,1960-06-24,1960-06-28
Boston Red Sox,WIN,7,1960-07-07,1960-07-17
Boston Red Sox,WIN,5,1960-08-28,1960-08-30
Boston Red Sox,LOSS,5,1960-09-11,1960-09-16
Chicago Cubs,LOSS,5,1960-04-16,1960-04-23
Chicago Cubs,LOSS,10,1960-06-18,1960-06-25
Chicago Cubs,LOSS,6,1960-07-10,1960-07-19
Chicago Cubs,LOSS,8,1960-07-23,1960-07-29
Chicago Cubs,LOSS,6,1960-09-09,1960-09-16
Chicago Cubs,LOSS,7,1960-09-19,1960-09-23
Cincinnati Reds,WIN,9,1960-05-02,1960-05-13
Cincinnati Reds,LOSS,5,1960-05-30,1960-06-04
Cincinnati Reds,LOSS,6,1960-06-11,1960-06-17
Cincinnati Reds,LOSS,5,1960-07-04,1960-07-08
Cincinnati Reds,LOSS,6,1960-07-27,1960-08-02
Cincinnati Reds,LOSS,5,1960-09-25,1960-10-02
Cleveland Indians,WIN,5,1960-04-29,1960-05-02
Cleveland Indians,WIN,5,1960-06-05,1960-06-09
Cleveland Indians,WIN,5,1960-07-02,1960-07-04
Cleveland Indians,LOSS,5,1960-07-24,1960-07-28
Cleveland Indians,LOSS,5,1960-08-25,1960-08-27
Detroit Tigers,WIN,5,1960-04-19,1960-04-24
Detroit Tigers,LOSS,10,1960-04-26,1960-05-07
Detroit Tigers,WIN,6,1960-05-22,1960-05-29
Detroit Tigers,LOSS,5,1960-05-29,1960-06-01
Detroit Tigers,WIN,5,1960-06-07,1960-06-10
Detroit Tigers,LOSS,5,1960-06-29,1960-07-03
Detroit Tigers,WIN,7,1960-08-17,1960-08-23
Detroit Tigers,LOSS,6,1960-09-05,1960-09-10
Los Angeles Dodgers,WIN,5,1960-05-22,1960-05-27
Los Angeles Dodgers,WIN,5,1960-07-04,1960-07-08
Kansas City Athletics,LOSS,5,1960-04-29,1960-05-03
Kansas City Athletics,WIN,5,1960-05-28,1960-05-31
Kansas City Athletics,LOSS,5,1960-06-04,1960-06-08
Kansas City Athletics,LOSS,7,1960-06-23,1960-06-30
Kansas City Athletics,LOSS,5,1960-07-09,1960-07-17
Kansas City Athletics,LOSS,5,1960-08-04,1960-08-07
Kansas City Athletics,LOSS,10,1960-08-11,1960-08-20
Kansas City Athletics,LOSS,5,1960-08-28,1960-08-31
Pittsburgh Pirates,WIN,9,1960-04-20,1960-05-01
Pittsburgh Pirates,WIN,5,1960-05-10,1960-05-15
Pittsburgh Pirates,WIN,6,1960-05-28,1960-06-03
Pittsburgh Pirates,WIN,5,1960-06-14,1960-06-18
Pittsburgh Pirates,WIN,7,1960-08-04,1960-08-10
Pittsburgh Pirates,WIN,6,1960-09-18,1960-09-22
San Francisco Giants,WIN,7,1960-05-06,1960-05-13
San Francisco Giants,LOSS,5,1960-06-19,1960-06-23
San Francisco Giants,LOSS,5,1960-07-05,1960-07-09
San Francisco Giants,WIN,5,1960-07-27,1960-07-31
San Francisco Giants,LOSS,6,1960-08-05,1960-08-10
San Francisco Giants,WIN,5,1960-09-19,1960-09-26
St. Louis Cardinals,LOSS,5,1960-04-12,1960-04-17
St. Louis Cardinals,LOSS,8,1960-05-05,1960-05-14
St. Louis Cardinals,WIN,7,1960-07-29,1960-08-04
St. Louis Cardinals,WIN,6,1960-08-07,1960-08-12
St. Louis Cardinals,LOSS,6,1960-08-13,1960-08-17
Washington Senators,WIN,5,1960-06-25,1960-06-28
Washington Senators,LOSS,7,1960-09-24,1960-10-02
Philadelphia Phillies,LOSS,6,1960-04-24,1960-05-02
Philadelphia Phillies,LOSS,7,1960-05-22,1960-05-30
Philadelphia Phillies,WIN,7,1960-06-19,1960-06-24
Philadelphia Phillies,LOSS,6,1960-07-10,1960-07-20
Philadelphia Phillies,LOSS,5,1960-08-07,1960-08-10
Milwaukee Braves,WIN,6,1960-06-19,1960-06-23
Milwaukee Braves,WIN,7,1960-07-10,1960-07-20
Chicago White Sox,WIN,5,1960-04-26,1960-05-01
Chicago White Sox,WIN,8,1960-07-17,1960-07-24
Chicago White Sox,LOSS,5,1960-08-01,1960-08-05
Chicago White Sox,WIN,6,1960-09-08,1960-09-13
New York Yankees,WIN,7,1960-06-07,1960-06-14
New York Yankees,WIN,6,1960-06-17,1960-06-22
New York Yankees,WIN,6,1960-06-28,1960-07-03
New York Yankees,WIN,5,1960-08-24,1960-08-27
New York Yankees,WIN,15,1960-09-16,1960-10-02
