Team,StreakType,Length,StartDate,EndDate
California Angels,WIN,5,1991-06-01,1991-06-06
California Angels,LOSS,7,1991-07-04,1991-07-13
California Angels,LOSS,7,1991-07-31,1991-08-06
Baltimore Orioles,LOSS,5,1991-05-22,1991-05-27
Baltimore Orioles,LOSS,6,1991-06-08,1991-06-14
Baltimore Orioles,LOSS,5,1991-07-26,1991-07-30
Baltimore Orioles,LOSS,5,1991-08-07,1991-08-11
Baltimore Orioles,WIN,5,1991-08-12,1991-08-15
Baltimore Orioles,LOSS,5,1991-09-30,1991-10-04
Boston Red Sox,WIN,6,1991-04-16,1991-04-23
Boston Red Sox,LOSS,5,1991-06-01,1991-06-06
Boston Red Sox,LOSS,6,1991-07-18,1991-07-23
Boston Red Sox,WIN,7,1991-09-04,1991-09-10
Chicago Cubs,WIN,6,1991-04-13,1991-04-18
Chicago Cubs,LOSS,5,1991-04-19,1991-04-23
Chicago Cubs,WIN,5,1991-05-22,1991-05-26
Chicago Cubs,LOSS,9,1991-06-15,1991-06-23
Cincinnati Reds,WIN,5,1991-06-23,1991-06-28
Cincinnati Reds,LOSS,10,1991-07-06,1991-07-19
Cincinnati Reds,LOSS,5,1991-09-16,1991-09-20
Cincinnati Reds,LOSS,5,1991-09-30,1991-10-05
Cleveland Indians,LOSS,5,1991-06-06,1991-06-10
Cleveland Indians,LOSS,6,1991-06-12,1991-06-18
Cleveland Indians,LOSS,5,1991-06-21,1991-06-25
Cleveland Indians,LOSS,7,1991-06-27,1991-07-03
Cleveland Indians,LOSS,6,1991-07-28,1991-08-02
Cleveland Indians,LOSS,5,1991-08-17,1991-08-22
Cleveland Indians,LOSS,5,1991-09-05,1991-09-09
Detroit Tigers,LOSS,8,1991-05-10,1991-05-18
Detroit Tigers,LOSS,7,1991-05-28,1991-06-04
Detroit Tigers,WIN,5,1991-07-31,1991-08-04
Detroit Tigers,WIN,7,1991-08-19,1991-08-26
Detroit Tigers,LOSS,6,1991-09-15,1991-09-22
Houston Astros,LOSS,6,1991-05-30,1991-06-05
Houston Astros,LOSS,5,1991-06-17,1991-06-21
Houston Astros,LOSS,5,1991-07-12,1991-07-16
Houston Astros,LOSS,7,1991-07-20,1991-07-27
Houston Astros,WIN,9,1991-07-28,1991-08-06
Houston Astros,LOSS,6,1991-08-07,1991-08-12
Houston Astros,LOSS,6,1991-09-08,1991-09-13
Houston Astros,LOSS,5,1991-09-24,1991-09-29
Kansas City Royals,LOSS,7,1991-04-27,1991-05-03
Kansas City Royals,LOSS,6,1991-06-22,1991-06-26
Kansas City Royals,WIN,5,1991-07-20,1991-07-25
Kansas City Royals,WIN,5,1991-08-04,1991-08-09
Los Angeles Dodgers,WIN,5,1991-06-16,1991-06-20
Los Angeles Dodgers,WIN,5,1991-06-28,1991-07-03
Los Angeles Dodgers,LOSS,7,1991-07-11,1991-07-17
Los Angeles Dodgers,WIN,5,1991-07-23,1991-07-27
Montreal Expos,LOSS,7,1991-04-20,1991-04-27
Montreal Expos,WIN,6,1991-05-06,1991-05-12
Montreal Expos,LOSS,5,1991-05-22,1991-05-26
Montreal Expos,LOSS,5,1991-05-28,1991-06-02
Montreal Expos,WIN,7,1991-06-14,1991-06-20
Montreal Expos,LOSS,11,1991-06-23,1991-07-04
Montreal Expos,WIN,5,1991-07-11,1991-07-15
Montreal Expos,LOSS,7,1991-07-29,1991-08-06
Montreal Expos,WIN,5,1991-09-04,1991-09-09
New York Mets,WIN,10,1991-07-01,1991-07-13
New York Mets,LOSS,7,1991-07-30,1991-08-06
New York Mets,LOSS,11,1991-08-09,1991-08-21
New York Mets,LOSS,5,1991-09-04,1991-09-09
Oakland Athletics,WIN,7,1991-04-11,1991-04-17
Oakland Athletics,LOSS,5,1991-04-18,1991-04-22
Oakland Athletics,WIN,6,1991-04-26,1991-05-03
Oakland Athletics,WIN,5,1991-07-26,1991-07-30
Oakland Athletics,WIN,6,1991-08-05,1991-08-11
Oakland Athletics,LOSS,7,1991-08-12,1991-08-18
Oakland Athletics,LOSS,5,1991-08-23,1991-08-27
Pittsburgh Pirates,WIN,6,1991-04-19,1991-04-25
Pittsburgh Pirates,WIN,9,1991-05-24,1991-06-02
Pittsburgh Pirates,WIN,5,1991-06-26,1991-06-30
Pittsburgh Pirates,WIN,7,1991-07-07,1991-07-16
Pittsburgh Pirates,LOSS,8,1991-07-28,1991-08-03
Pittsburgh Pirates,WIN,5,1991-08-10,1991-08-14
Pittsburgh Pirates,WIN,5,1991-08-27,1991-08-31
San Diego Padres,LOSS,5,1991-05-08,1991-05-12
San Diego Padres,WIN,6,1991-05-30,1991-06-05
San Diego Padres,LOSS,5,1991-07-06,1991-07-13
San Diego Padres,WIN,7,1991-09-03,1991-09-10
Seattle Mariners,LOSS,6,1991-04-09,1991-04-14
Seattle Mariners,WIN,8,1991-04-15,1991-04-23
Seattle Mariners,LOSS,5,1991-04-24,1991-04-28
Seattle Mariners,WIN,6,1991-05-04,1991-05-10
Seattle Mariners,WIN,6,1991-05-12,1991-05-18
Seattle Mariners,LOSS,7,1991-05-21,1991-05-28
Seattle Mariners,LOSS,5,1991-06-29,1991-07-03
Seattle Mariners,WIN,5,1991-08-12,1991-08-16
Seattle Mariners,LOSS,6,1991-08-20,1991-08-25
San Francisco Giants,LOSS,5,1991-04-28,1991-05-04
San Francisco Giants,LOSS,7,1991-05-17,1991-05-24
San Francisco Giants,WIN,6,1991-06-20,1991-06-26
San Francisco Giants,WIN,11,1991-07-20,1991-08-01
San Francisco Giants,WIN,5,1991-08-07,1991-08-11
San Francisco Giants,LOSS,5,1991-08-25,1991-08-29
San Francisco Giants,LOSS,6,1991-09-01,1991-09-07
San Francisco Giants,WIN,5,1991-09-15,1991-09-19
St. Louis Cardinals,WIN,5,1991-08-23,1991-08-27
St. Louis Cardinals,LOSS,5,1991-09-03,1991-09-07
St. Louis Cardinals,LOSS,5,1991-09-17,1991-09-21
Texas Rangers,WIN,14,1991-05-12,1991-05-27
Texas Rangers,LOSS,8,1991-06-01,1991-06-10
Texas Rangers,WIN,7,1991-06-11,1991-06-17
Texas Rangers,LOSS,5,1991-07-15,1991-07-19
Texas Rangers,LOSS,5,1991-08-12,1991-08-15
Toronto Blue Jays,WIN,5,1991-06-20,1991-06-24
Toronto Blue Jays,WIN,5,1991-06-29,1991-07-03
Toronto Blue Jays,WIN,6,1991-07-05,1991-07-13
Toronto Blue Jays,LOSS,7,1991-08-08,1991-08-14
Toronto Blue Jays,WIN,5,1991-08-25,1991-08-29
Toronto Blue Jays,WIN,5,1991-09-04,1991-09-08
Minnesota Twins,LOSS,7,1991-04-13,1991-04-20
Minnesota Twins,WIN,5,1991-04-24,1991-04-28
Minnesota Twins,WIN,15,1991-06-01,1991-06-16
Minnesota Twins,WIN,5,1991-09-06,1991-09-10
Philadelphia Phillies,LOSS,6,1991-04-14,1991-04-20
Philadelphia Phillies,WIN,5,1991-04-27,1991-05-01
Philadelphia Phillies,LOSS,5,1991-06-22,1991-06-27
Philadelphia Phillies,WIN,5,1991-07-15,1991-07-20
Philadelphia Phillies,LOSS,7,1991-07-21,1991-07-28
Philadelphia Phillies,WIN,13,1991-07-30,1991-08-12
Atlanta Braves,WIN,5,1991-05-27,1991-05-31
Atlanta Braves,LOSS,5,1991-06-14,1991-06-18
Atlanta Braves,WIN,5,1991-08-09,1991-08-13
Atlanta Braves,WIN,5,1991-08-26,1991-08-30
Atlanta Braves,WIN,7,1991-09-06,1991-09-12
Atlanta Braves,WIN,8,1991-09-27,1991-10-05
Chicago White Sox,WIN,6,1991-04-08,1991-04-16
Chicago White Sox,LOSS,5,1991-04-30,1991-05-05
Chicago White Sox,WIN,5,1991-06-06,1991-06-10
Chicago White Sox,WIN,5,1991-06-21,1991-06-25
Chicago White Sox,WIN,8,1991-07-25,1991-08-01
Chicago White Sox,WIN,7,1991-08-04,1991-08-11
Chicago White Sox,LOSS,9,1991-08-19,1991-08-28
New York Yankees,WIN,5,1991-05-22,1991-05-27
New York Yankees,LOSS,6,1991-06-11,1991-06-16
New York Yankees,WIN,6,1991-06-29,1991-07-04
New York Yankees,LOSS,5,1991-08-06,1991-08-10
New York Yankees,LOSS,8,1991-09-06,1991-09-13
Milwaukee Brewers,LOSS,8,1991-05-04,1991-05-14
Milwaukee Brewers,LOSS,7,1991-06-02,1991-06-09
Milwaukee Brewers,LOSS,6,1991-06-29,1991-07-04
Milwaukee Brewers,LOSS,6,1991-07-22,1991-07-27
