Team,StreakType,Length,StartDate,EndDate
California Angels,WIN,6,1985-04-25,1985-04-30
California Angels,LOSS,5,1985-07-25,1985-07-30
California Angels,WIN,5,1985-09-18,1985-09-22
Baltimore Orioles,LOSS,5,1985-06-07,1985-06-12
Baltimore Orioles,WIN,6,1985-08-13,1985-08-19
Baltimore Orioles,LOSS,6,1985-09-28,1985-10-03
Boston Red Sox,LOSS,5,1985-04-27,1985-05-01
Boston Red Sox,WIN,8,1985-06-01,1985-06-10
Boston Red Sox,WIN,6,1985-06-12,1985-06-17
Boston Red Sox,WIN,6,1985-07-21,1985-07-26
Boston Red Sox,LOSS,5,1985-08-09,1985-08-13
Boston Red Sox,LOSS,6,1985-08-16,1985-08-21
Boston Red Sox,LOSS,5,1985-08-23,1985-08-28
Chicago Cubs,WIN,5,1985-04-13,1985-04-17
Chicago Cubs,WIN,6,1985-06-06,1985-06-11
Chicago Cubs,LOSS,13,1985-06-12,1985-06-25
Chicago Cubs,LOSS,7,1985-08-03,1985-08-11
Chicago Cubs,LOSS,5,1985-09-02,1985-09-06
Chicago Cubs,LOSS,5,1985-09-12,1985-09-16
Cincinnati Reds,WIN,7,1985-04-15,1985-04-21
Cincinnati Reds,WIN,5,1985-05-15,1985-05-19
Cincinnati Reds,WIN,6,1985-09-15,1985-09-20
Cleveland Indians,LOSS,5,1985-04-08,1985-04-14
Cleveland Indians,LOSS,5,1985-05-13,1985-05-17
Cleveland Indians,LOSS,5,1985-05-22,1985-05-26
Cleveland Indians,LOSS,5,1985-07-02,1985-07-06
Cleveland Indians,LOSS,5,1985-07-13,1985-07-20
Cleveland Indians,LOSS,5,1985-07-26,1985-07-30
Cleveland Indians,WIN,5,1985-08-21,1985-08-26
Cleveland Indians,LOSS,6,1985-09-18,1985-09-24
Detroit Tigers,WIN,6,1985-04-08,1985-04-16
Detroit Tigers,WIN,5,1985-05-04,1985-05-10
Detroit Tigers,WIN,6,1985-06-08,1985-06-15
Detroit Tigers,LOSS,8,1985-09-04,1985-09-13
Houston Astros,LOSS,6,1985-07-12,1985-07-20
Houston Astros,LOSS,6,1985-07-22,1985-07-27
Houston Astros,WIN,5,1985-09-02,1985-09-06
Houston Astros,WIN,9,1985-09-11,1985-09-19
Kansas City Royals,LOSS,5,1985-05-01,1985-05-07
Kansas City Royals,WIN,6,1985-05-12,1985-05-17
Kansas City Royals,WIN,6,1985-05-21,1985-05-27
Kansas City Royals,WIN,7,1985-07-22,1985-07-29
Kansas City Royals,WIN,8,1985-09-02,1985-09-08
Los Angeles Dodgers,WIN,6,1985-07-08,1985-07-13
Los Angeles Dodgers,WIN,5,1985-07-23,1985-07-27
Los Angeles Dodgers,WIN,8,1985-08-09,1985-08-16
Montreal Expos,WIN,6,1985-04-23,1985-04-28
Montreal Expos,WIN,5,1985-06-12,1985-06-16
Montreal Expos,LOSS,5,1985-08-19,1985-08-23
Montreal Expos,LOSS,5,1985-09-01,1985-09-06
Montreal Expos,LOSS,6,1985-09-17,1985-09-22
New York Mets,WIN,5,1985-04-09,1985-04-14
New York Mets,WIN,6,1985-05-05,1985-05-12
New York Mets,WIN,5,1985-06-17,1985-06-21
New York Mets,LOSS,6,1985-06-26,1985-07-01
New York Mets,WIN,9,1985-07-02,1985-07-10
New York Mets,WIN,9,1985-08-03,1985-08-13
New York Mets,WIN,5,1985-09-01,1985-09-06
Oakland Athletics,WIN,6,1985-04-14,1985-04-20
Oakland Athletics,LOSS,7,1985-04-25,1985-05-01
Oakland Athletics,WIN,5,1985-08-04,1985-08-10
Oakland Athletics,LOSS,6,1985-09-04,1985-09-09
Pittsburgh Pirates,LOSS,5,1985-04-16,1985-04-21
Pittsburgh Pirates,LOSS,5,1985-05-06,1985-05-10
Pittsburgh Pirates,LOSS,7,1985-06-04,1985-06-10
Pittsburgh Pirates,LOSS,5,1985-07-13,1985-07-20
Pittsburgh Pirates,LOSS,7,1985-07-23,1985-07-30
Pittsburgh Pirates,LOSS,9,1985-08-05,1985-08-15
Pittsburgh Pirates,LOSS,5,1985-08-26,1985-08-30
San Diego Padres,WIN,7,1985-05-18,1985-05-26
San Diego Padres,LOSS,6,1985-07-21,1985-07-26
San Diego Padres,WIN,5,1985-08-20,1985-08-23
San Diego Padres,LOSS,5,1985-09-11,1985-09-15
Seattle Mariners,WIN,6,1985-04-09,1985-04-14
Seattle Mariners,LOSS,8,1985-04-21,1985-04-28
Seattle Mariners,WIN,8,1985-06-20,1985-06-29
Seattle Mariners,LOSS,6,1985-07-07,1985-07-12
Seattle Mariners,LOSS,6,1985-07-21,1985-07-26
Seattle Mariners,LOSS,5,1985-08-04,1985-08-10
San Francisco Giants,LOSS,7,1985-04-15,1985-04-22
San Francisco Giants,LOSS,5,1985-06-05,1985-06-10
San Francisco Giants,LOSS,10,1985-06-20,1985-06-30
San Francisco Giants,LOSS,6,1985-07-07,1985-07-12
San Francisco Giants,LOSS,5,1985-09-24,1985-09-29
St. Louis Cardinals,WIN,5,1985-06-13,1985-06-18
St. Louis Cardinals,WIN,5,1985-07-07,1985-07-11
St. Louis Cardinals,WIN,6,1985-07-21,1985-07-26
St. Louis Cardinals,WIN,5,1985-08-12,1985-08-16
St. Louis Cardinals,WIN,7,1985-08-21,1985-08-27
St. Louis Cardinals,WIN,7,1985-09-13,1985-09-18
St. Louis Cardinals,WIN,7,1985-09-20,1985-09-26
Texas Rangers,LOSS,5,1985-04-08,1985-04-14
Texas Rangers,LOSS,5,1985-04-23,1985-04-28
Texas Rangers,LOSS,7,1985-05-11,1985-05-17
Texas Rangers,LOSS,5,1985-07-29,1985-08-03
